sample	condition	cluster	layer	n_cells	RBFOX1	RBFOX2
SMC029	AD	11	L4	9	3.63309383392334	1.7131669521331787
SMC030	Control	1	L2/3	607	3.6717123985290527	1.3469159603118896
SMC030	Control	2	L2/3	48	3.774622678756714	1.536567211151123
SMC030	Control	27	L2/3	9	3.7389445304870605	1.514600157737732
SMC030	Control	10	L4	66	3.313791036605835	1.5404554605484009
SMC030	Control	11	L4	66	3.571840763092041	1.6328846216201782
SMC030	Control	18	L4	45	2.466905355453491	1.667763113975525
SMC030	Control	19	L5	36	3.5438969135284424	1.5596586465835571
SMC030	Control	26	L5	16	3.7327067852020264	1.645080804824829
SMC030	Control	25	L6	8	3.366309642791748	1.5984036922454834
SMC030	Control	20	Unclassified	14	3.960951328277588	1.4389225244522095
SMC031	Active control	1	L2/3	298	3.9893665313720703	1.4217109680175781
SMC031	Active control	2	L2/3	24	3.9579954147338867	1.5924344062805176
SMC031	Active control	10	L4	24	3.259833812713623	1.6825101375579834
SMC031	Active control	11	L4	13	3.5785951614379883	1.445017695426941
SMC031	Active control	18	L4	15	2.202420234680176	1.5656658411026
SMC031	Active control	19	L5	9	3.8182930946350098	1.5748233795166016
SMC031	Active control	25	L6	3	3.584890365600586	1.0828816890716553
SMC032	AD	1	L2/3	262	3.7528209686279297	1.4001158475875854
SMC032	AD	2	L2/3	112	3.7202370166778564	1.463165521621704
SMC032	AD	10	L4	60	3.294955015182495	1.5740755796432495
SMC032	AD	11	L4	80	3.6289334297180176	1.5604032278060913
SMC032	AD	18	L4	32	2.543795108795166	1.5529202222824097
SMC032	AD	19	L5	7	3.8969955444335938	1.4444972276687622
SMC032	AD	26	L5	11	3.6055238246917725	1.6264770030975342
SMC032	AD	25	L6	8	3.3590598106384277	1.7343299388885498
SMC032	AD	20	Unclassified	5	4.032474517822266	1.5850348472595215
SMC033	Control	1	L2/3	923	3.8282463550567627	1.3946577310562134
SMC033	Control	2	L2/3	329	3.9542794227600098	1.489891767501831
SMC033	Control	27	L2/3	112	3.952294111251831	1.5238549709320068
SMC033	Control	10	L4	290	3.488306999206543	1.553080439567566
SMC033	Control	11	L4	336	3.8524999618530273	1.6558353900909424
SMC033	Control	18	L4	93	2.6740095615386963	1.5290204286575317
SMC033	Control	19	L5	326	3.693239212036133	1.5421193838119507
SMC033	Control	26	L5	111	3.9938459396362305	1.7148462533950806
SMC033	Control	25	L6	107	3.6416337490081787	1.5273723602294922
SMC033	Control	20	Unclassified	177	3.934004306793213	1.5512080192565918
SMC035	Active control	1	L2/3	707	3.829256534576416	1.3283888101577759
SMC035	Active control	2	L2/3	332	3.9555795192718506	1.4359514713287354
SMC035	Active control	27	L2/3	41	3.688059091567993	1.537307620048523
SMC035	Active control	10	L4	157	3.342350482940674	1.4756853580474854
SMC035	Active control	11	L4	157	3.7397749423980713	1.556828498840332
SMC035	Active control	18	L4	55	2.695249319076538	1.5491613149642944
SMC035	Active control	19	L5	47	3.6615827083587646	1.3291633129119873
SMC035	Active control	26	L5	40	3.8541364669799805	1.5680696964263916
SMC035	Active control	25	L6	15	3.2772152423858643	1.4810858964920044
SMC035	Active control	20	Unclassified	38	3.7999579906463623	1.494250774383545
SMC036	AD	1	L2/3	105	4.054757118225098	1.5337190628051758
SMC036	AD	2	L2/3	28	4.188571929931641	1.550990104675293
SMC036	AD	10	L4	19	3.70796537399292	1.5030580759048462
SMC036	AD	11	L4	11	4.097811222076416	1.4330520629882812
SMC036	AD	18	L4	23	3.246318817138672	1.6515215635299683
SMC036	AD	19	L5	11	4.0259623527526855	1.580662727355957
SMC036	AD	20	Unclassified	4	4.358536243438721	1.603548288345337
SMC037	Active control	1	L2/3	252	4.035270690917969	1.5607439279556274
SMC037	Active control	2	L2/3	196	4.238190650939941	1.6312707662582397
SMC037	Active control	27	L2/3	27	4.166391849517822	1.5808457136154175
SMC037	Active control	10	L4	251	3.617177724838257	1.671677827835083
SMC037	Active control	11	L4	204	3.9855053424835205	1.715641736984253
SMC037	Active control	18	L4	55	3.281261444091797	1.4887304306030273
SMC037	Active control	19	L5	31	3.9091122150421143	1.6752883195877075
SMC037	Active control	26	L5	43	4.21199369430542	1.7389057874679565
SMC037	Active control	25	L6	32	3.648167610168457	1.5293575525283813
SMC037	Active control	20	Unclassified	29	4.320191860198975	1.6070438623428345
SMC038	AD	1	L2/3	677	3.9431135654449463	1.5201292037963867
SMC038	AD	2	L2/3	299	4.159237861633301	1.6182597875595093
SMC038	AD	27	L2/3	31	4.096238136291504	1.6602282524108887
SMC038	AD	10	L4	282	3.6166558265686035	1.6618130207061768
SMC038	AD	11	L4	213	3.9784982204437256	1.7024707794189453
SMC038	AD	18	L4	36	3.302426815032959	1.5861483812332153
SMC038	AD	19	L5	15	4.03031063079834	1.3949878215789795
SMC038	AD	26	L5	26	4.308920860290527	1.75312077999115
SMC038	AD	25	L6	49	3.7857468128204346	1.6212791204452515
SMC038	AD	20	Unclassified	12	4.201552391052246	1.622622013092041
SMC039	AD	1	L2/3	108	3.7941839694976807	1.4298096895217896
SMC039	AD	2	L2/3	19	3.8914976119995117	1.273106575012207
SMC039	AD	10	L4	86	3.298335313796997	1.3562346696853638
SMC039	AD	11	L4	69	3.772564172744751	1.4164550304412842
SMC039	AD	18	L4	102	2.5963399410247803	1.455187201499939
SMC039	AD	19	L5	7	3.6619138717651367	1.3262945413589478
SMC039	AD	26	L5	6	3.8867642879486084	1.1656970977783203
SMC039	AD	25	L6	12	3.594311237335205	1.1029587984085083
SMC041	AD	1	L2/3	365	3.9568543434143066	1.3024373054504395
SMC041	AD	2	L2/3	354	4.021924018859863	1.3306570053100586
SMC041	AD	27	L2/3	16	3.851511001586914	1.2455663681030273
SMC041	AD	10	L4	312	3.529913902282715	1.4455201625823975
SMC041	AD	11	L4	377	3.8806843757629395	1.4384779930114746
SMC041	AD	18	L4	174	2.652162551879883	1.3867814540863037
SMC041	AD	19	L5	40	3.8976244926452637	1.3486518859863281
SMC041	AD	26	L5	30	4.017200946807861	1.5882195234298706
SMC041	AD	25	L6	39	3.6473677158355713	1.448468565940857
SMC041	AD	20	Unclassified	39	4.095604419708252	1.2607417106628418
