backbone	motif	insert_frac	ratio	insert_len	full_len
107	SV40_NLS	0.005105762217359592	0.036410604	7	1371
107	cMyc_NLS	0.0065549890750182084	0.11822781	9	1373
108	Nucleoplasmin_NLS	0.028169014084507043	0.06336071	16	568
108	SV40_NLS	0.012522361359570662	0.031226488	7	559
108	cMyc_NLS	0.016042780748663103	0.054231744	9	561
109	Nucleoplasmin_NLS	0.05263157894736842	0.10272184	16	304
109	SV40_NLS	0.023728813559322035	0.13023718	7	295
109	cMyc_NLS	0.030303030303030304	0.13414337	9	297
110	Nucleoplasmin_NLS	0.04199475065616798	0.11090691	16	381
110	cMyc_NLS	0.02406417112299465	0.13801183	9	374
111	Nucleoplasmin_NLS	0.06037735849056604	0.23680219	16	265
111	SV40_NLS	0.02734375	0.0888824	7	256
111	cMyc_NLS	0.03488372093023256	0.18707244	9	258
112	Nucleoplasmin_NLS	0.020253164556962026	0.1471292	16	790
112	SV40_NLS	0.008962868117797696	0.039718617	7	781
112	cMyc_NLS	0.011494252873563218	0.11377007	9	783
113	Nucleoplasmin_NLS	0.06866952789699571	0.20491572	16	233
113	SV40_NLS	0.03125	0.09778007	7	224
113	cMyc_NLS	0.03982300884955752	0.21041884	9	226
114	Nucleoplasmin_NLS	0.05387205387205387	0.14909972	16	297
114	SV40_NLS	0.024305555555555556	0.10000368	7	288
114	cMyc_NLS	0.03103448275862069	0.15281956	9	290
115	Nucleoplasmin_NLS	0.017167381974248927	0.05249577	16	932
115	SV40_NLS	0.007583965330444204	0.08507107	7	923
115	cMyc_NLS	0.00972972972972973	0.13982722	9	925
116	Nucleoplasmin_NLS	0.014146772767462422	0.06304564	16	1131
116	SV40_NLS	0.006238859180035651	0.038068134	7	1122
116	cMyc_NLS	0.00800711743772242	0.04242932	9	1124
117	Nucleoplasmin_NLS	0.0106312292358804	0.08093156	16	1505
117	SV40_NLS	0.004679144385026738	0.08873179	7	1496
117	cMyc_NLS	0.006008010680907877	0.24686569	9	1498
118	Nucleoplasmin_NLS	0.05776173285198556	0.199249	16	277
118	cMyc_NLS	0.03333333333333333	0.19182487	9	270
119	Nucleoplasmin_NLS	0.04221635883905013	0.2515061	16	379
119	SV40_NLS	0.01891891891891892	0.28564447	7	370
119	cMyc_NLS	0.024193548387096774	0.23764612	9	372
120	Nucleoplasmin_NLS	0.050473186119873815	0.12062053	16	317
120	SV40_NLS	0.022727272727272728	0.060499642	7	308
120	cMyc_NLS	0.02903225806451613	0.09493751	9	310
121	Nucleoplasmin_NLS	0.06015037593984962	0.1382471	16	266
121	SV40_NLS	0.027237354085603113	0.12525909	7	257
121	cMyc_NLS	0.03474903474903475	0.20207545	9	259
122	Nucleoplasmin_NLS	0.014760147601476014	0.038899925	16	1084
122	cMyc_NLS	0.008356545961002786	0.05544806	9	1077
123	Nucleoplasmin_NLS	0.017167381974248927	0.16952981	16	932
123	SV40_NLS	0.007583965330444204	0.06436698	7	923
123	cMyc_NLS	0.00972972972972973	0.2129293	9	925
124	Nucleoplasmin_NLS	0.03636363636363636	0.09440565	16	440
124	SV40_NLS	0.016241299303944315	0.07956616	7	431
124	cMyc_NLS	0.020785219399538105	0.16193324	9	433
126	Nucleoplasmin_NLS	0.022598870056497175	0.09093652	16	708
126	SV40_NLS	0.010014306151645207	0.039929926	7	699
126	cMyc_NLS	0.012838801711840228	0.12590647	9	701
127	Nucleoplasmin_NLS	0.022535211267605635	0.07609799	16	710
127	SV40_NLS	0.009985734664764621	0.027041055	7	701
127	cMyc_NLS	0.012802275960170697	0.04403522	9	703
128	Nucleoplasmin_NLS	0.06153846153846154	0.18991119	16	260
128	SV40_NLS	0.027888446215139442	0.19603784	7	251
128	cMyc_NLS	0.03557312252964427	0.28940025	9	253
130	Nucleoplasmin_NLS	0.009858287122612447	0.05392716	16	1623
130	SV40_NLS	0.004337050805452293	0.078317344	7	1614
130	cMyc_NLS	0.005569306930693069	0.17628857	9	1616
131	Nucleoplasmin_NLS	0.0243531202435312	0.06463279	16	657
131	SV40_NLS	0.010802469135802469	0.050672024	7	648
131	cMyc_NLS	0.013846153846153847	0.045025636	9	650
132	Nucleoplasmin_NLS	0.014375561545372867	0.064273916	16	1113
132	SV40_NLS	0.006340579710144928	0.027377684	7	1104
132	cMyc_NLS	0.0081374321880651	0.031736832	9	1106
133	Nucleoplasmin_NLS	0.019975031210986267	0.058542423	16	801
133	cMyc_NLS	0.011335012594458438	0.06910532	9	794
134	Nucleoplasmin_NLS	0.01642710472279261	0.09408639	16	974
134	SV40_NLS	0.007253886010362694	0.19129696	7	965
134	cMyc_NLS	0.009307135470527405	0.21621107	9	967
135	Nucleoplasmin_NLS	0.014787430683918669	0.1310942	16	1082
135	cMyc_NLS	0.008372093023255815	0.16403095	9	1075
136	Nucleoplasmin_NLS	0.04092071611253197	0.39450023	16	391
136	SV40_NLS	0.01832460732984293	0.24030448	7	382
136	cMyc_NLS	0.0234375	0.25521165	9	384
137	Nucleoplasmin_NLS	0.012326656394453005	0.06794537	16	1298
137	SV40_NLS	0.005430566330488751	0.04893035	7	1289
137	cMyc_NLS	0.006971340046475601	0.050764173	9	1291
138	Nucleoplasmin_NLS	0.01866977829638273	0.056012813	16	857
138	cMyc_NLS	0.010588235294117647	0.053510737	9	850
139	Nucleoplasmin_NLS	0.017758046614872364	0.076530546	16	901
139	SV40_NLS	0.007847533632286996	0.036221813	7	892
139	cMyc_NLS	0.010067114093959731	0.115731165	9	894
140	Nucleoplasmin_NLS	0.020100502512562814	0.044817567	16	796
140	SV40_NLS	0.008894536213468869	0.04498919	7	787
140	cMyc_NLS	0.011406844106463879	0.07677044	9	789
141	Nucleoplasmin_NLS	0.015080113100848256	0.096737206	16	1061
141	SV40_NLS	0.006653992395437262	0.057232138	7	1052
141	cMyc_NLS	0.008538899430740038	0.13027702	9	1054
142	Nucleoplasmin_NLS	0.035398230088495575	0.11297278	16	452
142	SV40_NLS	0.01580135440180587	0.05146525	7	443
142	cMyc_NLS	0.020224719101123594	0.08670523	9	445
143	Nucleoplasmin_NLS	0.08376963350785341	0.27911437	16	191
143	SV40_NLS	0.038461538461538464	0.35054877	7	182
143	cMyc_NLS	0.04891304347826087	0.300529	9	184
144	Nucleoplasmin_NLS	0.03187250996015936	0.11901882	16	502
144	SV40_NLS	0.014198782961460446	0.1414608	7	493
144	cMyc_NLS	0.01818181818181818	0.36443383	9	495
145	Nucleoplasmin_NLS	0.045454545454545456	0.10313376	16	352
145	SV40_NLS	0.02040816326530612	0.114117734	7	343
145	cMyc_NLS	0.02608695652173913	0.24274279	9	345
146	Nucleoplasmin_NLS	0.0148975791433892	0.04041983	16	1074
146	cMyc_NLS	0.008434864104967198	0.05465798	9	1067
147	Nucleoplasmin_NLS	0.020100502512562814	0.12976198	16	796
147	cMyc_NLS	0.011406844106463879	0.054532245	9	789
148	Nucleoplasmin_NLS	0.07239819004524888	0.20744853	16	221
148	SV40_NLS	0.0330188679245283	0.14231479	7	212
148	cMyc_NLS	0.04205607476635514	0.3096926	9	214
149	Nucleoplasmin_NLS	0.07407407407407407	0.20616557	16	216
149	SV40_NLS	0.033816425120772944	0.09106658	7	207
149	cMyc_NLS	0.0430622009569378	0.18710521	9	209
150	Nucleoplasmin_NLS	0.03137254901960784	0.10439438	16	510
150	cMyc_NLS	0.017892644135188866	0.04521852	9	503
151	Nucleoplasmin_NLS	0.03508771929824561	0.3092895	16	456
151	SV40_NLS	0.015659955257270694	0.15178381	7	447
151	cMyc_NLS	0.0200445434298441	0.2106334	9	449
152	Nucleoplasmin_NLS	0.009324009324009324	0.11656636	16	1716
152	SV40_NLS	0.004100761570005858	0.062483687	7	1707
152	cMyc_NLS	0.0052662375658279695	0.24296817	9	1709
